Dept.,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,A,RaK,"May 12, 2024",09:00 AM - 11:00 AM,323 (011171282-011201198)                                                                                                                                                                                                                       324 (011201252-011222063)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,B,GoS,"May 12, 2024",09:00 AM - 11:00 AM,322 (011162003-011221489)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,C,GoS,"May 12, 2024",09:00 AM - 11:00 AM,325 (011162018-011213149)
BSEEE,EEE 255/EEE 3303,"Probability and Random Signal Analysis/Probability, Statistics and Random Variables",A,HAS,"May 12, 2024",09:00 AM - 11:00 AM,328 (021163019-021211020)                                                                                                                                                                                                                       329 (021211024-0212310077)
BSCSE,ENG 1011,English I,AA,MrR,"May 12, 2024",09:00 AM - 11:00 AM,330 (0112320080-0112410017)                                                                                                                                                                                                                       401 (0112410018-0112410529)
BSCSE,ENG 1011,English I,AB,SaFe,"May 12, 2024",09:00 AM - 11:00 AM,404 (0112230741-0112410049)                                                                                                                                                                                                                       405 (0112410050-0112410532)
BSCSE,ENG 1011,English I,AC,MrR,"May 12, 2024",09:00 AM - 11:00 AM,402 (0112410038-0112410077)                                                                                                                                                                                                                       403 (0112410101-0152410069)
BSCSE,ENG 1011,English I,AD,ASuS,"May 12, 2024",09:00 AM - 11:00 AM,423 (0112310158-0112410095)                                                                                                                                                                                                                       425 (0112410096-0112410442)
BSCSE,ENG 1011,English I,AE,MZK,"May 12, 2024",09:00 AM - 11:00 AM,410 (0112230626-0112410115)                                                                                                                                                                                                                       411 (0112410116-0112410528)
BSCSE,ENG 1011,English I,AF,MZK,"May 12, 2024",09:00 AM - 11:00 AM,601 (0112230006-0112410145)                                                                                                                                                                                                                       602 (0112410146-0112410541)
BSCSE,ENG 1011,English I,AG,JTR,"May 12, 2024",09:00 AM - 11:00 AM,604 (0112410151-0112410173)                                                                                                                                                                                                                       605 (0112410175-0112410530)
BSCSE,ENG 1011,English I,AH,SaHn,"May 12, 2024",09:00 AM - 11:00 AM,408 (0112231061-0112410196)                                                                                                                                                                                                                       409 (0112410197-0112410548)
BSCSE,ENG 1011,English I,AI,JTR,"May 12, 2024",09:00 AM - 11:00 AM,428 (0112230685-0112410412)                                                                                                                                                                                                                       429 (0112410413-0112410533)
BSCSE,ENG 1011,English I,AJ,MdTI,"May 12, 2024",09:00 AM - 11:00 AM,406 (0112331107-0112410307)                                                                                                                                                                                                                       407 (0112410308-0112410443)
BSCSE,ENG 1011,English I,AK,SSh,"May 12, 2024",09:00 AM - 11:00 AM,431 (0112330098-0112410229)                                                                                                                                                                                                                       432 (0112410230-0112410540)
BSCSE,ENG 1011,English I,AL,SaHn,"May 12, 2024",09:00 AM - 11:00 AM,630 (0112230265-0112410543)
BSCSE,ENG 1011,English I,AN,SSh,"May 12, 2024",09:00 AM - 11:00 AM,328 (0112330138-0112410399)                                                                                                                                                                                                                       329 (0112410400-0112410542)
BSDS,ENG 1011,English I,BA,AnAn,"May 12, 2024",09:00 AM - 11:00 AM,804 (0112330245-0152410017)                                                                                                                                                                                                                       805 (0152410018-0152410071)
BSDS,ENG 1011,English I,BB,FBM,"May 12, 2024",09:00 AM - 11:00 AM,806 (0112230854-0152410025)                                                                                                                                                                                                                       903 (0152410027-0152410070)
BSEEE,ENG 1011,English I,P,SaAr,"May 12, 2024",09:00 AM - 11:00 AM,322 (0112410490-0212410011)                                                                                                                                                                                                                       323 (0212410012-0212410052)
BSEEE,ENG 1011,English I,Q,AnAn,"May 12, 2024",09:00 AM - 11:00 AM,631 (011221029-0212410022)                                                                                                                                                                                                                       632 (0212410023-0212410049)
BSCSE,IPE 3401,Industrial and Operational Management,A,GKR,"May 12, 2024",09:00 AM - 11:00 AM,601 (011201167-011221157)                                                                                                                                                                                                                       602 (011221352-0112310267)
BSCSE,IPE 3401,Industrial and Operational Management,B,GKR,"May 12, 2024",09:00 AM - 11:00 AM,603 (011191079-011221199)                                                                                                                                                                                                                       604 (011221216-0112310394)
BSCSE,IPE 3401/IPE 401,Industrial and Operational Management/Industrial Management,C,GKR,"May 12, 2024",09:00 AM - 11:00 AM,803 (011181210-011221131)                                                                                                                                                                                                                       804 (011221221-0112310497)
BSEEE,ECO 2101/ECO 213,Economics,C,SCT,"May 12, 2024",11:30 AM - 01:30 PM,425 (021193005-0212230062)
BSEEE,ECO 2101/ECO 213/ECO 4101,Economics,D,MSS,"May 12, 2024",11:30 AM - 01:30 PM,322 (011183095-021212012)                                                                                                                                                                                                                       323 (021212013-0212230083)
BSEEE,EEE 305/EEE 3205,Power System,A,SMLK,"May 12, 2024",11:30 AM - 01:30 PM,405 (021152028-021201006)                                                                                                                                                                                                                       406 (021201028-0212320027)
BSCSE,ENG 1013,English II,AA,NB,"May 12, 2024",11:30 AM - 01:30 PM,806 (0112330001-0112330662)                                                                                                                                                                                                                       903 (0112330670-0112331154)
BSCSE,ENG 1013,English II,AB,NB,"May 12, 2024",11:30 AM - 01:30 PM,707 (0112230010-0112330372)                                                                                                                                                                                                                       708 (0112330383-0112331173)
BSCSE,ENG 1013,English II,AC,TaHsn,"May 12, 2024",11:30 AM - 01:30 PM,403 (0112310430-0112330504)                                                                                                                                                                                                                       404 (0112330580-0112331164)
BSCSE,ENG 1013,English II,AD,MdTI,"May 12, 2024",11:30 AM - 01:30 PM,324 (0112310073-0112330571)                                                                                                                                                                                                                       325 (0112330573-0112331163)
BSCSE,ENG 1013,English II,AE,MdTI,"May 12, 2024",11:30 AM - 01:30 PM,631 (0112310200-0112330595)                                                                                                                                                                                                                       632 (0112330615-0112331168)
BSCSE,ENG 1013,English II,AF,SSh,"May 12, 2024",11:30 AM - 01:30 PM,322 (011221302-0112330604)                                                                                                                                                                                                                       323 (0112330716-0112331152)
BSCSE,ENG 1013,English II,AG,SaFe,"May 12, 2024",11:30 AM - 01:30 PM,408 (0112310360-0112330560)                                                                                                                                                                                                                       409 (0112330617-0112331108)
BSCSE,ENG 1013,English II,AH,MarHn,"May 12, 2024",11:30 AM - 01:30 PM,402 (0112330079-0112331126)
BSCSE,ENG 1013,English II,AI,NB,"May 12, 2024",11:30 AM - 01:30 PM,328 (0112310068-0112330725)                                                                                                                                                                                                                       329 (0112330727-0112331157)
BSCSE,ENG 1013,English II,AJ,JTR,"May 12, 2024",11:30 AM - 01:30 PM,328 (011222175-0112330217)                                                                                                                                                                                                                       329 (0112330231-0112331109)
BSCSE,ENG 1013,English II,AK,SaFe,"May 12, 2024",11:30 AM - 01:30 PM,324 (0112230896-0112330352)                                                                                                                                                                                                                       403 (0112330376-0112331137)
BSCSE,ENG 1013,English II,AL,SaFe,"May 12, 2024",11:30 AM - 01:30 PM,804 (0112310391-0112330453)                                                                                                                                                                                                                       805 (0112330523-0112331092)
BSCSE,ENG 1013,English II,AM,TaHsn,"May 12, 2024",11:30 AM - 01:30 PM,423 (0112320007-0112330686)                                                                                                                                                                                                                       425 (0112330690-0112331096)
BSCSE,ENG 1013,English II,AN,AnAn,"May 12, 2024",11:30 AM - 01:30 PM,703 (0112330009-0112330385)                                                                                                                                                                                                                       706 (0112330404-0112331020)
BSCSE,ENG 1013,English II,AP,TaHsn,"May 12, 2024",11:30 AM - 01:30 PM,428 (0112230036-0112330500)                                                                                                                                                                                                                       429 (0112330501-0112331158)
BSCSE,ENG 1013,English II,AQ,MdTI,"May 12, 2024",11:30 AM - 01:30 PM,402 (0112330034-0112331104)
BSCSE,ENG 1013,English II,AR,AKMZa,"May 12, 2024",11:30 AM - 01:30 PM,330 (0112230641-0112330596)                                                                                                                                                                                                                       401 (0112330691-0112331151)
BSCSE,ENG 1013,English II,AS,AnAn,"May 12, 2024",11:30 AM - 01:30 PM,330 (0112230861-0112330472)                                                                                                                                                                                                                       401 (0112330492-0112331138)
BSCSE,ENG 1013,English II,AT,MdTI,"May 12, 2024",11:30 AM - 01:30 PM,711 (011211045-0112330680)                                                                                                                                                                                                                       722 (0112330681-0152330156)
