Dept.,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,A,RaK,"March 09, 2024",9:00 AM - 10:45 AM,305 (011171282-011201198)                                                                                                                                                                                                                       306 (011201252-011222063)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,B,GoS,"March 09, 2024",9:00 AM - 10:45 AM,307 (011162003-011201300)                                                                                                                                                                                                                       308 (011201328-011222233)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,C,GoS,"March 09, 2024",9:00 AM - 10:45 AM,309 (011162018-011213149)
BSCSE,ENG 1011,English I,AA,MrR,"March 09, 2024",9:00 AM - 10:45 AM,308 (0112320080-0112410017)                                                                                                                                                                                                                       309 (0112410018-0112410529)
BSCSE,ENG 1011,English I,AB,SaFe,"March 09, 2024",9:00 AM - 10:45 AM,322 (0112230741-0112410049)                                                                                                                                                                                                                       323 (0112410050-0112410532)
BSCSE,ENG 1011,English I,AC,MrR,"March 09, 2024",9:00 AM - 10:45 AM,324 (0112410038-0112410077)                                                                                                                                                                                                                       325 (0112410101-0152410069)
BSCSE,ENG 1011,English I,AD,ASuS,"March 09, 2024",9:00 AM - 10:45 AM,328 (0112310158-0112410094)                                                                                                                                                                                                                       329 (0112410095-0112410442)
BSCSE,ENG 1011,English I,AE,MZK,"March 09, 2024",9:00 AM - 10:45 AM,330 (0112230626-0112410115)                                                                                                                                                                                                                       401 (0112410116-0112410528)
BSCSE,ENG 1011,English I,AF,MZK,"March 09, 2024",9:00 AM - 10:45 AM,402 (0112230006-0112410145)                                                                                                                                                                                                                       403 (0112410146-0112410541)
BSCSE,ENG 1011,English I,AG,JTR,"March 09, 2024",9:00 AM - 10:45 AM,404 (0112410151-0112410173)                                                                                                                                                                                                                       405 (0112410175-0112410530)
BSCSE,ENG 1011,English I,AH,SaHn,"March 09, 2024",9:00 AM - 10:45 AM,406 (0112231061-0112410195)                                                                                                                                                                                                                       407 (0112410196-0112410548)
BSCSE,ENG 1011,English I,AI,JTR,"March 09, 2024",9:00 AM - 10:45 AM,408 (0112230685-0112410413)                                                                                                                                                                                                                       409 (0112410414-0112410533)
BSCSE,ENG 1011,English I,AJ,MdTI,"March 09, 2024",9:00 AM - 10:45 AM,428 (0112331107-0112410307)                                                                                                                                                                                                                       429 (0112410308-0112410549)
BSCSE,ENG 1011,English I,AK,SSh,"March 09, 2024",9:00 AM - 10:45 AM,431 (0112330098-0112410229)                                                                                                                                                                                                                       432 (0112410230-0112410540)
BSCSE,ENG 1011,English I,AL,SaHn,"March 09, 2024",9:00 AM - 10:45 AM,601 (0112230265-0112410278)                                                                                                                                                                                                                       602 (0112410279-0112410543)
BSCSE,ENG 1011,English I,AN,SSh,"March 09, 2024",9:00 AM - 10:45 AM,603 (0112320268-0112410399)                                                                                                                                                                                                                       604 (0112410400-0112410542)
BSCSE,IPE 3401,Industrial and Operational Management,A,GKR,"March 09, 2024",9:00 AM - 10:45 AM,601 (011201167-011221157)                                                                                                                                                                                                                       602 (011221352-0112310267)
BSCSE,IPE 3401,Industrial and Operational Management,B,GKR,"March 09, 2024",9:00 AM - 10:45 AM,603 (011191079-011221216)                                                                                                                                                                                                                       604 (011221237-0112310394)
BSCSE,IPE 3401,Industrial and Operational Management/Industrial Management,C,GKR,"March 09, 2024",9:00 AM - 10:45 AM,605 (011181210-011221131)                                                                                                                                                                                                                       630 (011221221-0112310497)
BSCSE,ENG 1013,English II,AA,NB,"March 09, 2024",11:15 AM - 1:00 PM,706 (0112330001-0112330662)                                                                                                                                                                                                                       707 (0112330670-0112331154)
BSCSE,ENG 1013,English II,AB,NB,"March 09, 2024",11:15 AM - 1:00 PM,708 (0112230010-0112330372)                                                                                                                                                                                                                       711 (0112330383-0112331173)
BSCSE,ENG 1013,English II,AC,TaHsn,"March 09, 2024",11:15 AM - 1:00 PM,722 (0112310430-0112330504)                                                                                                                                                                                                                       723 (0112330580-0112331164)
BSCSE,ENG 1013,English II,AD,MdTI,"March 09, 2024",11:15 AM - 1:00 PM,305 (0112310073-0112330571)                                                                                                                                                                                                                       306 (0112330573-0112331163)
BSCSE,ENG 1013,English II,AE,MdTI,"March 09, 2024",11:15 AM - 1:00 PM,307 (0112310200-0112330595)                                                                                                                                                                                                                       308 (0112330615-0112331168)
BSCSE,ENG 1013,English II,AF,SSh,"March 09, 2024",11:15 AM - 1:00 PM,309 (011221302-0112330585)                                                                                                                                                                                                                       322 (0112330604-0112331152)
BSCSE,ENG 1013,English II,AG,SaFe,"March 09, 2024",11:15 AM - 1:00 PM,630 (0112310360-0112330560)                                                                                                                                                                                                                       631 (0112330617-0112331108)
BSCSE,ENG 1013,English II,AH,MarHn,"March 09, 2024",11:15 AM - 1:00 PM,632 (0112330079-0112331126)
BSCSE,ENG 1013,English II,AI,NB,"March 09, 2024",11:15 AM - 1:00 PM,604 (0112310068-0112330724)                                                                                                                                                                                                                       605 (0112330725-0112331157)
BSCSE,ENG 1013,English II,AJ,JTR,"March 09, 2024",11:15 AM - 1:00 PM,602 (011222175-0112330208)                                                                                                                                                                                                                       603 (0112330217-0112331109)
