Program,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BBA,BMT 2113/QNT 2105,Business Mathematics II/Mathematics for Business Decision,A,ShAz,"March 09, 2024",9:00 AM - 10:45 AM,201 (111163108-1142320006)
BBA,BMT 2113/QNT 2105,Business Mathematics II/Mathematics for Business Decision,B,MA,"March 09, 2024",9:00 AM - 10:45 AM,202 (111193050-1112310013)                                                                                                                                                                                                                       203 (1112310020-114212002)
BBA,BMT 2113/QNT 2105,Business Mathematics II/Mathematics for Business Decision,C,MA,"March 09, 2024",9:00 AM - 10:45 AM,204 (111161188-1112230160)                                                                                                                                                                                                                       205 (1112230163-1142320004)
BBA,ENG 1011,English I,A,SaAr,"March 09, 2024",9:00 AM - 10:45 AM,202 (111211032-1112410061)                                                                                                                                                                                                                       203 (1112410064-1142410016)
BBA,ENG 1011,English I,B,ChMR,"March 09, 2024",9:00 AM - 10:45 AM,204 (1112320006-1112410074)                                                                                                                                                                                                                       205 (1112410077-1142410014)
BBA,ENG 1011,English I,C,SaAn,"March 09, 2024",9:00 AM - 10:45 AM,206 (111213106-1112410132)                                                                                                                                                                                                                       207 (1112410134-1212410020)
BBA,ENG 1011,English I,D,KnGn,"March 09, 2024",9:00 AM - 10:45 AM,208 (1112320008-1112410110)                                                                                                                                                                                                                       209 (1112410117-1142410018)
BBA,MGT 3224/MGT 4132,Operations Management/Production and Operations Management,A,NHMS,"March 09, 2024",9:00 AM - 10:45 AM,206 (111171276-111212033)                                                                                                                                                                                                                       207 (111212054-121211006)
BBA,MGT 3224/MGT 4132,Operations Management/Production and Operations Management,B,MSna,"March 09, 2024",9:00 AM - 10:45 AM,208 (111162027-111213056)                                                                                                                                                                                                                       209 (111213060-121221020)
BBA,ENG 1013,English II,A,MarHn,"March 09, 2024",11:15 AM - 1:00 PM,210 (111211078-1112330182)                                                                                                                                                                                                                       211 (1112330189-1212330039)
BBA,ENG 1013,English II,B,ChMR,"March 09, 2024",11:15 AM - 1:00 PM,222 (1112320096-1112330130)                                                                                                                                                                                                                       223 (1112330132-1142330029)
BBA,ENG 1013,English II,C,MKH,"March 09, 2024",11:15 AM - 1:00 PM,224 (1112230038-1112330177)                                                                                                                                                                                                                       225 (1112330197-1212330037)
BBA,ENG 1013,English II,D,SaAr,"March 09, 2024",11:15 AM - 1:00 PM,228 (1112230085-1142330022)
BBA,ENG 1013,English II,E,SSh,"March 09, 2024",11:15 AM - 1:00 PM,202 (111213077-1112330135)                                                                                                                                                                                                                       203 (1112330141-1212320009)
BBA,ENG 1013/ENG 1207,English II/Intensive English II,F,MKH,"March 09, 2024",11:15 AM - 1:00 PM,204 (111201135-1112330092)                                                                                                                                                                                                                       205 (1112330102-1142330030)
BBA,MKT 4204,Strategic Marketing,A,KA,"March 09, 2024",11:15 AM - 1:00 PM,206 (111181108-111201078)                                                                                                                                                                                                                       207 (111201096-111203022)
BBA,MKT 4204,Strategic Marketing,B,KA,"March 09, 2024",11:15 AM - 1:00 PM,208 (111143295-111201020)                                                                                                                                                                                                                       209 (111201033-111203014)
BBA,MIS 4181,System Analysis & Design,A,AIK,"March 09, 2024",1:45 PM - 3:30 PM,Computer Lab 1 (0226) (111182016-111211062)
BBA,MGT 2318,Organizational Behavior,A,SK,"March 10, 2024",9:00 AM - 10:45 AM,202 (111172029-1112310140)
BBA,MGT 2318,Organizational Behavior,B,SK,"March 10, 2024",9:00 AM - 10:45 AM,203 (111161100-1112230024)                                                                                                                                                                                                                       204 (1112230037-1112310159)
BBA,MGT 2318,Organizational Behavior,C,IS,"March 10, 2024",9:00 AM - 10:45 AM,205 (111192002-111222150)                                                                                                                                                                                                                       206 (1112230001-1112310141)
BBA,MGT 3122,Human Resources Management,A,IS,"March 10, 2024",9:00 AM - 10:45 AM,203 (111182062-111212080)                                                                                                                                                                                                                       204 (111212095-1112310145)
BBA,MGT 3122,Human Resources Management,B,HRJ,"March 10, 2024",9:00 AM - 10:45 AM,205 (111172099-111221003)                                                                                                                                                                                                                       206 (111221005-1112230273)
BBA,MGT 4356,Strategic Management,A,NAr,"March 10, 2024",9:00 AM - 10:45 AM,207 (111132224-111193065)                                                                                                                                                                                                                       208 (111193095-114202015)
BBA,MGT 4356,Strategic Management,B,NAr,"March 10, 2024",9:00 AM - 10:45 AM,209 (111171276-111201015)                                                                                                                                                                                                                       210 (111201028-114203001)
BBA,MGT 1307,Principles of Management,A,BJ,"March 10, 2024",11:15 AM - 1:00 PM,208 (111202002-1112310148)                                                                                                                                                                                                                       209 (1112310153-1142320014)
BBA,MGT 1307,Principles of Management,B,BJ,"March 10, 2024",11:15 AM - 1:00 PM,210 (111201192-121221004)
BBA,MGT 1307,Principles of Management,C,HaUn,"March 10, 2024",11:15 AM - 1:00 PM,211 (111202172-1112320029)                                                                                                                                                                                                                       222 (1112320033-1142320012)
BBA,MGT 1307,Principles of Management,D,SK,"March 10, 2024",11:15 AM - 1:00 PM,223 (111202050-1112310102)                                                                                                                                                                                                                       224 (1112310108-121201008)
BBA,SCM 4313,Service Operation Management,A,SdHn,"March 10, 2024",11:15 AM - 1:00 PM,201 (111182016-111201136)                                                                                                                                                                                                                       202 (111201179-111212082)
BBA,ACN 4340/AIS 2306,Auditing/Principles of Auditing,A,MTH,"March 10, 2024",1:45 PM - 3:30 PM,202 (111162121-1142310007)
BBA,MIS 4388,Advanced Database Management,A,AAFd,"March 10, 2024",1:45 PM - 3:30 PM,Computer Lab 1 (0226) (111183092-111212069)
BBA,BUS 1102,Introduction to Business,A,SeyS,"March 11, 2024",9:00 AM - 10:45 AM,202 (111211082-1112410070)                                                                                                                                                                                                                       203 (1112410084-1142410016)
BBA,BUS 1102,Introduction to Business,B,KA,"March 11, 2024",9:00 AM - 10:45 AM,204 (1112330233-1112410077)                                                                                                                                                                                                                       205 (1112410078-1142410015)
BBA,BUS 1102,Introduction to Business,C,KA,"March 11, 2024",9:00 AM - 10:45 AM,206 (1112230050-1112410066)                                                                                                                                                                                                                       207 (1112410071-1212330013)
BBA,BUS 1102,Introduction to Business,D,SeyS,"March 11, 2024",9:00 AM - 10:45 AM,208 (1112230053-1112410116)                                                                                                                                                                                                                       209 (1112410117-1142410018)
BBA,MKT 3336,Marketing Management,A,SeyS,"March 11, 2024",9:00 AM - 10:45 AM,202 (111171117-111211052)                                                                                                                                                                                                                       203 (111211070-111221184)
BBA,MKT 4101,Consumer Behavior,A,SRA,"March 11, 2024",9:00 AM - 10:45 AM,204 (111151098-111201022)                                                                                                                                                                                                                       205 (111201048-111203012)
BBA,MKT 4101,Consumer Behavior,B,MKHn,"March 11, 2024",9:00 AM - 10:45 AM,206 (111161100-111201017)                                                                                                                                                                                                                       207 (111201033-111211097)
BBA,HRM 4363,International Human Resource Management,A,MKHq,"March 11, 2024",11:15 AM - 1:00 PM,209 (111132224-111203012)
BBA,MKT 2320,Introduction to Marketing,A,SRA,"March 11, 2024",11:15 AM - 1:00 PM,210 (111192062-111221096)                                                                                                                                                                                                                       211 (111221124-1212230016)
BBA,MKT 2320,Introduction to Marketing,B,SRA,"March 11, 2024",11:15 AM - 1:00 PM,222 (111171196-111221151)                                                                                                                                                                                                                       223 (111221154-1212230017)
BBA,SOC 1105,Sociology and Psychology,A,ShaIs,"March 11, 2024",11:15 AM - 1:00 PM,210 (111201079-1112310004)                                                                                                                                                                                                                       211 (1112310023-1142320012)
BBA,SOC 1105,Sociology and Psychology,B,ShaIs,"March 11, 2024",11:15 AM - 1:00 PM,222 (111201154-1112310131)                                                                                                                                                                                                                       223 (1112320009-1142320002)
BBA,SOC 1105,Sociology and Psychology,C,ShaIs,"March 11, 2024",11:15 AM - 1:00 PM,224 (111193044-1112230107)                                                                                                                                                                                                                       225 (1112230112-1212310001)
BBA,SOC 1105,Sociology and Psychology,D,ShaIs,"March 11, 2024",11:15 AM - 1:00 PM,228 (111193087-1212310018)
BBA,LAW 2106/LAW 4151,Business Law/Commercial & Industrial Laws,A,Jkn,"March 11, 2024",1:45 PM - 3:30 PM,202 (111183076-111211023)                                                                                                                                                                                                                       203 (111211042-114213012)
BBA,LAW 2106/LAW 4151,Business Law/Commercial & Industrial Laws,B,Jkn,"March 11, 2024",1:45 PM - 3:30 PM,204 (111143295-111201233)                                                                                                                                                                                                                       205 (111201240-111222107)
